Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbp25_II","OK",2214,QX200 ddPCR EvaGreen Supermix,44280,,,2259,2171,13063,2347,,,,,,15410,,,,,,,,,,,,,,,,,,1,1,12681,18283,10740,17134,"",,,,2237,2192,,,,,,,,,,,,,
"A12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rf30_I-E","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,16565,,,,,,16565,,,,,,,,,,,,,,,,,,1,1,0,0,9303.3,9303.3,"",,,,,,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,12467,,,,,,12467,,,,,,,,,,,,,,,,,,1,1,0,0,19339,19339,"",,,,,,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Tb2_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,1597,5676,,,,,,7273,,,,,,,,,,,,,,,,,,1,1,9686,13889,4585.9,6628.7,"",,,,,,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Fe12_I","OK",4360,QX200 ddPCR EvaGreen Supermix,87200,,,4500,4250,13189,331,,,,,,13520,,,,,,,,,,,,,,,,,,1,1,14396,19736,12462,19558,"",,,,4430,4300,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_I","Manual",4890,QX200 ddPCR EvaGreen Supermix,97800,,,5060,4740,13214,210,,,,,,13424,,,,,,,,,,,,,,,,,,1,1,15279,20337,13350,20228,"",,,,4970,4810,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1NTC,"NTC","OK",8500,QX200 ddPCR EvaGreen Supermix,170000,,,9300,7900,14987,11,,,,,,14998,,,,,,,,,,,,,,,,,,1,1,12670,20236,11532,20229,"",,,,8870,8150,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Aa17_I","OK",7690,QX200 ddPCR EvaGreen Supermix,153800,,,8220,7230,15149,22,,,,,,15171,,,,,,,,,,,,,,,,,,1,1,10938,19293,10513,19280,"",,,,7950,7450,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_I","Manual",8400,QX200 ddPCR EvaGreen Supermix,168000,,,9100,7800,15161,12,,,,,,15173,,,,,,,,,,,,,,,,,,1,1,14935,19868,10407,19860,"",,,,8760,8080,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15596,,,,,,15596,,,,,,,,,,,,,,,,,,1,1,0,0,18788,18788,"",,,,,,,,,,,,,,,,,,
"B09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_I","Manual",2500,QX200 ddPCR EvaGreen Supermix,50000,,,2550,2450,13171,1793,,,,,,14964,,,,,,,,,,,,,,,,,,1,1,14941,18883,9742.1,17787,"",,,,2523,2470,,,,,,,,,,,,,
"B10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rc24_II","OK",4540,QX200 ddPCR EvaGreen Supermix,90800,,,4670,4420,15564,336,,,,,,15900,,,,,,,,,,,,,,,,,,1,1,12465,18483,9764,18298,"",,,,4600,4480,,,,,,,,,,,,,
"B11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Gr28_II","Manual",2072,QX200 ddPCR EvaGreen Supermix,41440,,,2112,2033,13749,2854,,,,,,16603,,,,,,,,,,,,,,,,,,1,1,14820,18355,10725,17044,"",,,,2092,2052,,,,,,,,,,,,,
"B12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rf30_II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15366,,,,,,15366,,,,,,,,,,,,,,,,,,1,1,0,0,9447.8,9447.8,"",,,,,,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_I-E","Manual",2320,QX200 ddPCR EvaGreen Supermix,46400,,,2380,2270,10690,1721,,,,,,12411,,,,,,,,,,,,,,,,,,1,1,15574,18258,14049,17674,"",,,,2351,2298,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Tb2_I-E","Manual",1.5,QX200 ddPCR EvaGreen Supermix,30,,,2.3,0.9,18,14271,,,,,,14289,,,,,,,,,,,,,,,,,,1,1,14939,17963,12997,13003,"",,,,1.86,1.16,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Fe12_I-E","OK",410,QX200 ddPCR EvaGreen Supermix,8200,,,422,397,4222,10140,,,,,,14362,,,,,,,,,,,,,,,,,,1,1,14225,19307,12122,14235,"",,,,416,403,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_I","OK",596,QX200 ddPCR EvaGreen Supermix,11920,,,612,581,5676,8602,,,,,,14278,,,,,,,,,,,,,,,,,,1,1,13855,19732,11840,14977,"",,,,604,588,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_II","OK",915,QX200 ddPCR EvaGreen Supermix,18300,,,937,894,7511,6381,,,,,,13892,,,,,,,,,,,,,,,,,,1,1,13393,19886,11183,15888,"",,,,926,905,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Aa17_I-E","OK",855,QX200 ddPCR EvaGreen Supermix,17100,,,874,835,7539,7062,,,,,,14601,,,,,,,,,,,,,,,,,,1,1,12423,19035,10632,14970,"",,,,865,845,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,16062,,,,,,16062,,,,,,,,,,,,,,,,,,1,1,0,0,10385,10385,"",,,,,,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1NTC,"NTC","OK",1198,QX200 ddPCR EvaGreen Supermix,23960,,,1222,1174,10429,5901,,,,,,16330,,,,,,,,,,,,,,,,,,1,1,12211,18603,10205,15569,"",,,,1210,1185,,,,,,,,,,,,,
"C09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_I-E","OK",197,QX200 ddPCR EvaGreen Supermix,3940,,,205,189,2380,13079,,,,,,15459,,,,,,,,,,,,,,,,,,1,1,11856,19269,9998.9,11426,"",,,,200.7,192.7,,,,,,,,,,,,,
"C10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rc24_II","Manual",449,QX200 ddPCR EvaGreen Supermix,8980,,,462,437,4938,10619,,,,,,15557,,,,,,,,,,,,,,,,,,1,1,14739,18593,9861.1,12633,"",,,,456,443,,,,,,,,,,,,,
"C11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Gr28_II","OK",209,QX200 ddPCR EvaGreen Supermix,4180,,,217,201,2678,13771,,,,,,16449,,,,,,,,,,,,,,,,,,1,1,11627,17972,9722,11065,"",,,,213.1,205,,,,,,,,,,,,,
"C12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rf30_II","Manual",870,QX200 ddPCR EvaGreen Supermix,17400,,,889,851,8297,7582,,,,,,15879,,,,,,,,,,,,,,,,,,1,1,14780,19573,9550.2,14788,"",,,,879,860,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_II","Manual",2560,QX200 ddPCR EvaGreen Supermix,51200,,,2610,2500,12284,1580,,,,,,13864,,,,,,,,,,,,,,,,,,1,1,15574,18214,14068,17741,"",,,,2583,2528,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbe10_I","Manual",2.1,QX200 ddPCR EvaGreen Supermix,42,,,2.9,1.4,30,16777,,,,,,16807,,,,,,,,,,,,,,,,,,1,1,14698,18436,12800,12810,"",,,,2.51,1.74,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Fe12_II","OK",372,QX200 ddPCR EvaGreen Supermix,7440,,,383,360,4071,10960,,,,,,15031,,,,,,,,,,,,,,,,,,1,1,14162,19577,12280,14256,"",,,,377,366,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_I-E","OK",559,QX200 ddPCR EvaGreen Supermix,11180,,,573,544,5746,9455,,,,,,15201,,,,,,,,,,,,,,,,,,1,1,13769,19684,11778,14766,"",,,,566,551,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_II","OK",865,QX200 ddPCR EvaGreen Supermix,17300,,,885,846,7573,6969,,,,,,14542,,,,,,,,,,,,,,,,,,1,1,13469,20011,11281,15828,"",,,,876,855,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Aa17_II","OK",805,QX200 ddPCR EvaGreen Supermix,16100,,,823,786,7644,7786,,,,,,15430,,,,,,,,,,,,,,,,,,1,1,12583,19279,10802,15002,"",,,,814,795,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_I-E","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,14103,,,,,,14103,,,,,,,,,,,,,,,,,,1,1,0,0,10420,10420,"",,,,,,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Bm22_I","OK",1303,QX200 ddPCR EvaGreen Supermix,26060,,,1329,1277,10755,5307,,,,,,16062,,,,,,,,,,,,,,,,,,1,1,12119,18620,10189,15834,"",,,,1316,1290,,,,,,,,,,,,,
"D09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_II","OK",238,QX200 ddPCR EvaGreen Supermix,4760,,,246,229,3031,13531,,,,,,16562,,,,,,,,,,,,,,,,,,1,1,11778,19094,9863.5,11553,"",,,,242.1,233.5,,,,,,,,,,,,,
"D10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1NTC,"NTC","OK",458,QX200 ddPCR EvaGreen Supermix,9160,,,470,445,5025,10568,,,,,,15593,,,,,,,,,,,,,,,,,,1,1,11491,18340,9694.8,12481,"",,,,464,451,,,,,,,,,,,,,
"D11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Gr28_II-E","OK",215,QX200 ddPCR EvaGreen Supermix,4300,,,223,207,2719,13574,,,,,,16293,,,,,,,,,,,,,,,,,,1,1,11630,17979,9714.3,11093,"",,,,218.9,210.7,,,,,,,,,,,,,
"D12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lc32_I","Manual",874,QX200 ddPCR EvaGreen Supermix,17480,,,893,856,8920,8092,,,,,,17012,,,,,,,,,,,,,,,,,,1,1,14699,19235,9395.9,14555,"",,,,884,865,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_II","Manual",250,QX200 ddPCR EvaGreen Supermix,5000,,,260,240,2421,10238,,,,,,12659,,,,,,,,,,,,,,,,,,1,1,16007,18014,13967,14741,"",,,,255,245,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbe10_I","Manual",0.56,QX200 ddPCR EvaGreen Supermix,11.2,,,1.09,0.24,7,14738,,,,,,14745,,,,,,,,,,,,,,,,,,1,1,14284,16572,12738,12739,"",,,,0.8,0.37,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Fe12_II","OK",47,QX200 ddPCR EvaGreen Supermix,940,,,50.8,43.2,589,14448,,,,,,15037,,,,,,,,,,,,,,,,,,1,1,13607,19035,12171,12440,"",,,,48.9,45.1,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lx15_II","OK",61,QX200 ddPCR EvaGreen Supermix,1220,,,65.4,56.6,729,13699,,,,,,14428,,,,,,,,,,,,,,,,,,1,1,13523,19493,11558,11959,"",,,,63.3,58.7,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_II-E","Manual",97,QX200 ddPCR EvaGreen Supermix,1940,,,103,91,1052,12240,,,,,,13292,,,,,,,,,,,,,,,,,,1,1,14870,19698,11039,11724,"",,,,100,94,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Aa17_II","OK",80,QX200 ddPCR EvaGreen Supermix,1600,,,85,74,873,12467,,,,,,13340,,,,,,,,,,,,,,,,,,1,1,12622,19026,10655,11203,"",,,,82.3,76.9,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_I-E","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15506,,,,,,15506,,,,,,,,,,,,,,,,,,1,1,0,0,10325,10325,"",,,,,,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Bm22_I","OK",139,QX200 ddPCR EvaGreen Supermix,2780,,,145,132,1697,13581,,,,,,15278,,,,,,,,,,,,,,,,,,1,1,11909,18343,10126,11039,"",,,,141.9,135.2,,,,,,,,,,,,,
"E09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_II","OK",26.2,QX200 ddPCR EvaGreen Supermix,524,,,29,23.5,345,15293,,,,,,15638,,,,,,,,,,,,,,,,,,1,1,11469,18803,9692.9,9893.9,"",,,,27.7,24.8,,,,,,,,,,,,,
"E10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbp25_I","OK",72,QX200 ddPCR EvaGreen Supermix,1440,,,76.7,67.4,919,14554,,,,,,15473,,,,,,,,,,,,,,,,,,1,1,11550,18245,9758.7,10263,"",,,,74.4,69.7,,,,,,,,,,,,,
"E11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Gr28_I","OK",31.7,QX200 ddPCR EvaGreen Supermix,634,,,34.6,28.8,451,16518,,,,,,16969,,,,,,,,,,,,,,,,,,1,1,11298,17835,9611,9829.6,"",,,,33.2,30.2,,,,,,,,,,,,,
"E12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lc32_I","OK",206,QX200 ddPCR EvaGreen Supermix,4120,,,214,199,2836,14789,,,,,,17625,,,,,,,,,,,,,,,,,,1,1,11287,19338,9515.1,11096,"",,,,210.3,202.5,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Spk1_II-E","OK",254,QX200 ddPCR EvaGreen Supermix,5080,,,264,244,2503,10374,,,,,,12877,,,,,,,,,,,,,,,,,,1,1,15094,17411,13597,14338,"",,,,259,249,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbe10_I-E","Manual",1.7,QX200 ddPCR EvaGreen Supermix,34,,,2.6,1,17,11783,,,,,,11800,,,,,,,,,,,,,,,,,,1,1,14422,16171,12717,12722,"",,,,2.14,1.32,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1NTC,"NTC","OK",54.6,QX200 ddPCR EvaGreen Supermix,1092,,,58.8,50.3,630,13268,,,,,,13898,,,,,,,,,,,,,,,,,,1,1,13912,19248,12029,12357,"",,,,56.8,52.4,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lx15_II","OK",63.9,QX200 ddPCR EvaGreen Supermix,1278,,,68.5,59.4,768,13754,,,,,,14522,,,,,,,,,,,,,,,,,,1,1,13484,19496,11520,11942,"",,,,66.2,61.6,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_I","OK",79,QX200 ddPCR EvaGreen Supermix,1580,,,84,73,845,12231,,,,,,13076,,,,,,,,,,,,,,,,,,1,1,13157,19958,11206,11772,"",,,,81.3,75.9,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1NTC,"NTC","OK",63,QX200 ddPCR EvaGreen Supermix,1260,,,67.8,58.2,667,12126,,,,,,12793,,,,,,,,,,,,,,,,,,1,1,12447,19037,10673,11109,"",,,,65.4,60.6,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,13812,,,,,,13812,,,,,,,,,,,,,,,,,,1,1,0,0,10456,10456,"",,,,,,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Bm22_I-E","Manual",140,QX200 ddPCR EvaGreen Supermix,2800,,,147,134,1682,13262,,,,,,14944,,,,,,,,,,,,,,,,,,1,1,14941,18380,10091,11024,"",,,,143.9,137.1,,,,,,,,,,,,,
"F09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ac20_II-E","OK",25.2,QX200 ddPCR EvaGreen Supermix,504,,,28,22.4,309,14278,,,,,,14587,,,,,,,,,,,,,,,,,,1,1,10651,18600,9818.1,10004,"",,,,26.6,23.8,,,,,,,,,,,,,
"F10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbp25_I","OK",53.1,QX200 ddPCR EvaGreen Supermix,1062,,,57.2,49,651,14095,,,,,,14746,,,,,,,,,,,,,,,,,,1,1,11235,18176,9745.5,10118,"",,,,55.2,51,,,,,,,,,,,,,
"F11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Gr28_I","OK",23.6,QX200 ddPCR EvaGreen Supermix,472,,,26.2,21.1,331,16321,,,,,,16652,,,,,,,,,,,,,,,,,,1,1,11029,17893,9652,9815.8,"",,,,24.9,22.3,,,,,,,,,,,,,
"F12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lc32_I","OK",182,QX200 ddPCR EvaGreen Supermix,3640,,,190,175,2237,13353,,,,,,15590,,,,,,,,,,,,,,,,,,1,1,11374,19083,9378.1,10771,"",,,,186.1,178.4,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Tb2-II","OK",19,QX200 ddPCR EvaGreen Supermix,380,,,21.5,16.4,213,13103,,,,,,13316,,,,,,,,,,,,,,,,,,1,1,14974,16972,13578,13632,"",,,,20.3,17.7,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbe10_II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,11586,,,,,,11586,,,,,,,,,,,,,,,,,,1,1,0,0,12650,12650,"",,,,,,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_II","OK",5.8,QX200 ddPCR EvaGreen Supermix,116,,,7.3,4.5,68,13755,,,,,,13823,,,,,,,,,,,,,,,,,,1,1,13616,16292,12019,12040,"",,,,6.5,5.1,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lx15_I","OK",10.2,QX200 ddPCR EvaGreen Supermix,204,,,12,8.5,126,14411,,,,,,14537,,,,,,,,,,,,,,,,,,1,1,13389,18818,11379,11444,"",,,,11.2,9.3,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_I","OK",10.4,QX200 ddPCR EvaGreen Supermix,208,,,12.2,8.6,129,14498,,,,,,14627,,,,,,,,,,,,,,,,,,1,1,12854,19470,10981,11056,"",,,,11.3,9.5,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_II","OK",12.6,QX200 ddPCR EvaGreen Supermix,252,,,14.7,10.5,136,12651,,,,,,12787,,,,,,,,,,,,,,,,,,1,1,12506,19004,10673,10761,"",,,,13.7,11.5,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_I","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15497,,,,,,15497,,,,,,,,,,,,,,,,,,1,1,0,0,10334,10334,"",,,,,,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Bm22_II","OK",17,QX200 ddPCR EvaGreen Supermix,340,,,19.2,14.8,226,15564,,,,,,15790,,,,,,,,,,,,,,,,,,1,1,11532,17690,9909.9,10021,"",,,,18.1,15.8,,,,,,,,,,,,,
"G09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rc24_I","OK",4.4,QX200 ddPCR EvaGreen Supermix,88,,,5.6,3.4,62,16517,,,,,,16579,,,,,,,,,,,,,,,,,,1,1,10563,17436,9669.8,9698.8,"",,,,5,3.9,,,,,,,,,,,,,
"G10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbp25_I-E","OK",3.1,QX200 ddPCR EvaGreen Supermix,62,,,4.2,2.3,41,15377,,,,,,15418,,,,,,,,,,,,,,,,,,1,1,10466,16849,9732.3,9751.2,"",,,,3.65,2.67,,,,,,,,,,,,,
"G11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rf30_I","OK",5,QX200 ddPCR EvaGreen Supermix,100,,,6.3,4,70,16291,,,,,,16361,,,,,,,,,,,,,,,,,,1,1,10338,17350,9591.2,9624.4,"",,,,5.7,4.5,,,,,,,,,,,,,
