Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B05",Absolute Quantification,"ABS","12",Ch1Unknown,"3","OK",55.1,QX200 ddPCR EvaGreen Supermix,1102,,,59,51.3,796,16595,,,,,,17391,,,,,,,,,,,,,,,,,,1,1,10380,16958,8619,9000.7,"",,,,57.1,53.2,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","6",Ch1Unknown,"4","OK",15,QX200 ddPCR EvaGreen Supermix,300,,,17.1,13,207,16102,,,,,,16309,,,,,,,,,,,,,,,,,,1,1,10951,19837,8752.5,8893.2,"",,,,16.1,14,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","20",Ch1Unknown,"2","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,4042,,,,,,4042,,,,,,,,,,,,,,,,,,1,1,0,0,13562,13562,"",,,,,,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","4",Ch1Unknown,"2","OK",900,QX200 ddPCR EvaGreen Supermix,18000,,,920,880,8309,7235,,,,,,15544,,,,,,,,,,,,,,,,,,1,1,12435,18535,10451,14772,"",,,,910,890,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","6",Ch1Unknown,"2","OK",1597,QX200 ddPCR EvaGreen Supermix,31940,,,1628,1568,12573,4354,,,,,,16927,,,,,,,,,,,,,,,,,,1,1,12458,20749,9939.6,17969,"",,,,1613,1582,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","8",Ch1Unknown,"2","OK",2.2,QX200 ddPCR EvaGreen Supermix,44,,,3,1.6,40,21253,,,,,,21293,,,,,,,,,,,,,,,,,,1,1,10243,13217,9454,9461.1,"",,,,2.58,1.88,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","10",Ch1Unknown,"2","OK",310,QX200 ddPCR EvaGreen Supermix,6200,,,319,301,4724,15673,,,,,,20397,,,,,,,,,,,,,,,,,,1,1,11189,19534,8955.2,11405,"",,,,314.5,305.4,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","8",Ch1Unknown,"4","OK",2.3,QX200 ddPCR EvaGreen Supermix,46,,,3.1,1.6,35,17908,,,,,,17943,,,,,,,,,,,,,,,,,,1,1,9491,11384,8765.6,8770.7,"",,,,2.71,1.93,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","20",Ch1Unknown,"3","OK",69.1,QX200 ddPCR EvaGreen Supermix,1382,,,73.3,64.9,1022,16897,,,,,,17919,,,,,,,,,,,,,,,,,,1,1,12896,19839,10737,11256,"",,,,71.3,66.9,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","4",Ch1Unknown,"2","OK",903,QX200 ddPCR EvaGreen Supermix,18060,,,922,884,8874,7691,,,,,,16565,,,,,,,,,,,,,,,,,,1,1,12696,18799,10592,14988,"",,,,912,893,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","6",Ch1Unknown,"2","OK",1606,QX200 ddPCR EvaGreen Supermix,32120,,,1637,1577,13011,4460,,,,,,17471,,,,,,,,,,,,,,,,,,1,1,12303,20608,9823.4,17855,"",,,,1622,1591,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","8",Ch1Unknown,"2","OK",1.9,QX200 ddPCR EvaGreen Supermix,38,,,2.6,1.3,32,20205,,,,,,20237,,,,,,,,,,,,,,,,,,1,1,10148,12330,9240.4,9245.3,"",,,,2.21,1.55,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","10",Ch1Unknown,"2","OK",333,QX200 ddPCR EvaGreen Supermix,6660,,,343,323,4505,13773,,,,,,18278,,,,,,,,,,,,,,,,,,1,1,11200,19568,8969.5,11582,"",,,,337.9,328,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","10",Ch1Unknown,"4","OK",3.4,QX200 ddPCR EvaGreen Supermix,68,,,4.5,2.6,53,18071,,,,,,18124,,,,,,,,,,,,,,,,,,1,1,10724,18108,8658.4,8686,"",,,,3.94,2.99,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","20",Ch1Unknown,"4","OK",7.5,QX200 ddPCR EvaGreen Supermix,150,,,8.9,6.1,113,17648,,,,,,17761,,,,,,,,,,,,,,,,,,1,1,12451,19028,10467,10521,"",,,,8.2,6.8,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","4",Ch1Unknown,"3","OK",102,QX200 ddPCR EvaGreen Supermix,2040,,,108,96,1234,13622,,,,,,14856,,,,,,,,,,,,,,,,,,1,1,12066,18052,10183,10836,"",,,,104.9,99.1,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","6",Ch1Unknown,"3","OK",148,QX200 ddPCR EvaGreen Supermix,2960,,,154,142,2034,15175,,,,,,17209,,,,,,,,,,,,,,,,,,1,1,11938,20305,9805.5,11047,"",,,,151.3,144.7,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","8",Ch1Unknown,"3","OK",2.3,QX200 ddPCR EvaGreen Supermix,46,,,3.1,1.7,41,20687,,,,,,20728,,,,,,,,,,,,,,,,,,1,1,10108,11850,9307.4,9312.4,"",,,,2.71,1.99,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","10",Ch1Unknown,"3","OK",32.2,QX200 ddPCR EvaGreen Supermix,644,,,35.1,29.4,496,17868,,,,,,18364,,,,,,,,,,,,,,,,,,1,1,10972,19279,8820.9,9103.4,"",,,,33.7,30.8,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","12",Ch1Unknown,"4","OK",5.8,QX200 ddPCR EvaGreen Supermix,116,,,7,4.6,89,18156,,,,,,18245,,,,,,,,,,,,,,,,,,1,1,10100,17393,8770.2,8812.3,"",,,,6.4,5.2,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","100",Ch1Unknown,"5","OK",4.4,QX200 ddPCR EvaGreen Supermix,88,,,5.7,3.4,61,16129,,,,,,16190,,,,,,,,,,,,,,,,,,1,1,11468,13699,10407,10420,"",,,,5,3.9,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","4",Ch1Unknown,"3","OK",103,QX200 ddPCR EvaGreen Supermix,2060,,,109,97,1240,13538,,,,,,14778,,,,,,,,,,,,,,,,,,1,1,12068,18180,10138,10813,"",,,,106,100.2,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","6",Ch1Unknown,"3","OK",157,QX200 ddPCR EvaGreen Supermix,3140,,,164,150,2113,14790,,,,,,16903,,,,,,,,,,,,,,,,,,1,1,11754,20062,9551.2,10865,"",,,,160.5,153.7,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","8",Ch1Unknown,"3","Manual",0.93,QX200 ddPCR EvaGreen Supermix,18.6,,,1.48,0.53,15,18998,,,,,,19013,,,,,,,,,,,,,,,,,,1,1,11974,14090,9359.6,9363.3,"",,,,1.19,0.71,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","10",Ch1Unknown,"3","OK",32.3,QX200 ddPCR EvaGreen Supermix,646,,,35.2,29.4,475,17079,,,,,,17554,,,,,,,,,,,,,,,,,,1,1,10506,19102,8682.9,8964.8,"",,,,33.8,30.8,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","20",Ch1Unknown,"3","OK",73.2,QX200 ddPCR EvaGreen Supermix,1464,,,77.6,68.9,1093,17019,,,,,,18112,,,,,,,,,,,,,,,,,,1,1,11423,19902,9190.4,9836.8,"",,,,75.4,71,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","32",Ch1Unknown,"1","Manual",7670,QX200 ddPCR EvaGreen Supermix,153400,,,8170,7230,16237,24,,,,,,16261,,,,,,,,,,,,,,,,,,1,1,14820,20386,10585,20372,"",,,,7920,7440,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","32",Ch1Unknown,"2","OK",922,QX200 ddPCR EvaGreen Supermix,18440,,,943,902,8349,7016,,,,,,15365,,,,,,,,,,,,,,,,,,1,1,12186,19685,9923.5,15227,"",,,,933,912,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","32",Ch1Unknown,"3","OK",91,QX200 ddPCR EvaGreen Supermix,1820,,,96,86,1279,15905,,,,,,17184,,,,,,,,,,,,,,,,,,1,1,11589,19521,9459.4,10208,"",,,,93.5,88.5,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","32",Ch1Unknown,"3","OK",90.1,QX200 ddPCR EvaGreen Supermix,1802,,,94.8,85.5,1472,18486,,,,,,19958,,,,,,,,,,,,,,,,,,1,1,11033,19610,9071.2,9848.5,"",,,,92.5,87.8,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","100",Ch1Unknown,"5","OK",2.5,QX200 ddPCR EvaGreen Supermix,50,,,3.4,1.8,37,17186,,,,,,17223,,,,,,,,,,,,,,,,,,1,1,9495,12420,8722.3,8730.2,"",,,,2.97,2.14,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","20",Ch1Unknown,"4","OK",8.4,QX200 ddPCR EvaGreen Supermix,168,,,9.9,6.9,122,16998,,,,,,17120,,,,,,,,,,,,,,,,,,1,1,11140,19128,9045.6,9117.4,"",,,,9.2,7.7,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","100",Ch1Unknown,"2","Manual",2304,QX200 ddPCR EvaGreen Supermix,46080,,,2350,2260,13613,2236,,,,,,15849,,,,,,,,,,,,,,,,,,1,1,11699,16056,10480,15269,"",,,,2327,2281,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","100",Ch1Unknown,"3","OK",239,QX200 ddPCR EvaGreen Supermix,4780,,,248,231,2984,13225,,,,,,16209,,,,,,,,,,,,,,,,,,1,1,11511,15221,9942.3,10914,"",,,,243.8,235,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","100",Ch1Unknown,"3","OK",184,QX200 ddPCR EvaGreen Supermix,3680,,,191,178,2733,16102,,,,,,18835,,,,,,,,,,,,,,,,,,1,1,11022,15030,9449.2,10259,"",,,,188,180.9,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","100",Ch1Unknown,"4","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,6606,,,,,,6606,,,,,,,,,,,,,,,,,,1,1,0,0,6942.1,6942.1,"",,,,,,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","100",Ch1Unknown,"4","OK",38.1,QX200 ddPCR EvaGreen Supermix,762,,,41.3,35,555,16851,,,,,,17406,,,,,,,,,,,,,,,,,,1,1,10224,14821,8779.8,8972.4,"",,,,39.7,36.5,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","32",Ch1Unknown,"4","OK",10.8,QX200 ddPCR EvaGreen Supermix,216,,,12.4,9.2,168,18207,,,,,,18375,,,,,,,,,,,,,,,,,,1,1,10749,19460,8601.6,8700.9,"",,,,11.6,10,,,,,,,,,,,,,
